"name","address","lng","lat"
"FQHC189","365 Tuolumne St,Vallejo,Solano","-122.238302357047,","38.103320337852"
"FQHC190","3690 Mission Blvd,San Diego,San Diego","-117.252557494409,","32.782308007037"
"FQHC191","370 N Montgomery St,San Jose,Santa Clara","-121.904635696346,","37.336623057531"
"FQHC192","3801 Las Posas Rd,Camarillo,Ventura","-119.019685420898,","34.241306269682"
"FQHC193","3820 Martin Luther King Jr Blvd,Lynwood,Los Angeles","-118.340121355624,","34.013724243207"
"FQHC194","3945 Whittier Blvd,Los Angeles,Los Angeles","-118.188224693834,","34.023985439689"
"FQHC195","401 E School Ave,Visalia,Tulare","-119.288922308866,","36.332829673305"
"FQHC196","401 Lesher Dr,Merced,Merced","-120.504072944986,","37.293772720436"
"FQHC197","401 Trinity Ave,Chowchilla,Madera","-120.260873516753,","37.120593943908"
"FQHC198","4010 E Chapman Ave,Orange,Orange","-117.810235344091,","33.787703483842"
"FQHC199","4050 Beyer Blvd,San Ysidro,San Diego","-117.04682889695,","32.558301584436"
"FQHC200","4060 Fairmount Ave,San Diego,San Diego","-117.100937575998,","32.750668227242"
"FQHC201","4094 4th Ave,San Diego,San Diego","-117.161705160152,","32.751745733306"
"FQHC202","4150 Patterson Rd,Riverbank,Merced","-120.919844394736,","37.732577013068"
"FQHC203","416 Spring St,Paso Robles,San Luis Obispo","-120.69059920802,","35.618565343926"
"FQHC204","41651 Sierra Dr,Three Rivers,Tulare","-118.905253298484,","36.438336998577"
"FQHC205","4171 Fairmount Ave,San Diego,San Diego","-117.100771699852,","32.752651763345"
"FQHC206","4177 Avenue 368, Kingsburg, CA 93631","-119.481402411476,","36.459020400254"
"FQHC207","41840 Enterprise Cir,Temecula,Riverside","-117.169871705055,","33.517586334041"
"FQHC208","420 S Glendora Ave,West Covina,Los Angeles","-117.925558081711,","34.067130192763"
"FQHC209","423 S San Joaquin St,Stockton,San Joaquin","-121.286118537609,","37.948969899404"
"FQHC210","425 N Date St,Escondido,San Diego","-117.071433050658,","33.128780975962"
"FQHC211","425 W Central Ave,Lompoc,Santa Barbara","-120.458837485151,","34.660899894328"
"FQHC212","4279 Tierra Rejada Rd,Moorpark,Ventura","-118.899879062652,","34.2681181241063"
"FQHC213","430 S Blosser Rd,Santa Maria,Santa Barbara","-120.453664168544,","34.947316256897"
"FQHC214","4326 Golden Center Dr,Placerville,El Dorado","-120.828883263122,","38.706724228304"
"FQHC215","436-435 Susan Dr,Doyle,Lassen","-120.121084480229,","40.042326507119"
"FQHC216","4361 Railroad Ave,Pleasanton,Alameda","-121.873700276357,","37.661578171861"
"FQHC217","440 Airport Blvd,Salinas,Monterey","-121.616763228704,","36.665347359102"
"FQHC218","45 Hazel St,Willits,Mendocino","-123.35192533006,","39.399736076341"
"FQHC219","45 Nielson St,Watsonville,Santa Cruz","-121.79254841839,","36.928229656885"
"FQHC220","450 W Clara St,Oxnard,Ventura","-119.182219009342,","34.15112896511"
"FQHC221","452 S Main St,Los Angeles,Los Angeles","-118.247986592452,","34.047178387881"
"FQHC222","455 W Montana St,Pasadena,Los Angeles","-118.160589074002,","34.180898878732"
"FQHC223","460 N Elm St,Escondido,San Diego","-117.072676877045,","33.128210910938"
"FQHC224","4641 Missouri Flat Rd,Placerville,El Dorado","-120.823698399655,","38.69570400365"
"FQHC225","4650 W Sunset Blvd,Los Angeles,Los Angeles","-118.29068926834,","34.098098260622"
"FQHC226","4725 Market St,San Diego,San Diego","-117.092640057001,","32.710988189169"
"FQHC227","4874 Polk Ave,San Diego,San Diego","-117.089742278653,","32.751385526963"
"FQHC228","500 E Main St,Santa Paula,Ventura","-119.068818258283,","34.351107709608"
"FQHC229","501 N Bridge St,Visalia,Tulare","-119.289074392711,","36.33385258187"
"FQHC230","5059 York Blvd,Los Angeles,Los Angeles","-118.205622764396,","34.121292296211"
"FQHC231","517 S Madera Ave,Kerman,Fresno","-120.060299218825,","36.726660238806"
"FQHC232","522 S San Pedro St,Los Angeles,Los Angeles","-118.244140679193,","34.043702198143"
"FQHC233","5220 Claremont Ave,Oakland,Alameda","-122.261180797627,","37.838638271302"
"FQHC234","525 E Main St,El Cajon,San Diego","-116.955733414853,","32.794866923531"
"FQHC235","5275 Claremont Ave,Oakland,Alameda","-122.260984962705,","37.839117363179"
"FQHC236","5335 Lakeshore Blvd,Lakeport,Lake","-122.903209728457,","39.105753809472"
"FQHC237","535 S Second Ave,Covina,Los Angeles","-117.887950509549,","34.080161882472"
"FQHC238","5400 Telegraph Ave,Alameda,Alameda","-118.899879062652,","34.2681181241063"
"FQHC239","5425 Pomona Blvd,Los Angeles,Los Angeles","-118.147344493012,","34.033492934063"
"FQHC240","5427 E Whittier Blvd,Los Angeles,Los Angeles","-118.153426701165,","34.019639442411"
"FQHC241","5454 El Cajon Blvd,San Diego,San Diego","-117.077704021458,","32.758126574746"
"FQHC242","550 E Washington Blvd,Crescent City,Del Norte","-124.198168703563,","41.772765430848"
"FQHC243","55497 Van Buren St,Thermal,Riverside","-116.198822593872,","33.644676305484"
"FQHC244","600 Nut Tree Rd,Vacaville,Solano","-121.949618713866,","38.361389799367"
"FQHC245","601 S San Pedro St,Los Angeles,Los Angeles","-118.24533617428,","34.042241473448"
"FQHC246","612 Spring Rd,Moorpark,Ventura","-118.874588100772,","34.281202949576"
"FQHC247","616 16th St,Oakland,Alameda","-122.274354711468,","37.807284497144"
"FQHC248","6336 Passons Blvd,Pico Rovera,Los Angeles","-118.08579615125,","33.98578787761"
"FQHC249","637 Merced St,Newman,Stanislaus","-121.016926598076,","37.314651554187"
"FQHC250","65 Third St,Point Reyes Station,Marin","-122.806724915017,","38.067824755522"
"FQHC251","650 Meta St,Oxnard,Ventura","-119.17590925326,","34.195666867305"
"FQHC252","6550 Front St,Forestville,Sonoma","-122.89119660957,","38.473569005571"
"FQHC253","678 3rd Ave,Chula Vista,San Diego","-117.074860507663,","32.628217230421"
"FQHC254","680 Fairplex Dr,Pomona,Los Angeles","-117.787481727175,","34.062459981606"
"FQHC255","6901 S Atlantic Ave,Bell Gardens,Los Angeles","-118.187741140771,","33.973730602332"
"FQHC256","69175 Ramon Rd,Cathedral City,Riverside","-116.456660906124,","33.815916775553"
"FQHC257","701 E Cesar E Chavez Ave,Los Angeles,Los Angeles","-118.229662434318,","34.05597794739"
"FQHC258","701 E Channel St,Stockton,San Joaquin","-121.28244130949,","37.956050832656"
"FQHC259","701 W Cesar E Chavez Ave,Los Angeles,Los Angeles","-118.243885346195,","34.060702162476"
"FQHC260","7107 Remmet Ave,Canoga Park,Los Angeles","-118.600342914937,","34.19936461681"
"FQHC261","721 Calaveras St,Lodi,San Joaquin","-121.265729181713,","38.142855181234"
"FQHC262","721 E 5th St,Los Angeles,Los Angeles","-118.241819787332,","34.043003906352"
"FQHC263","7210 Murray Dr,Stockton,San Joaquin","-121.300796703613,","38.015578397658"
"FQHC264","727 Wilson St,Los Angeles,Los Angeles","-118.233970020338,","34.034361708412"
"FQHC265","728 E Valley Parkway,Escondido,San Diego","-117.073552266485,","33.127520859181"
"FQHC266","730 Central Ave,Tracy,San Joaquin","-121.547362184526,","37.769156250342"
"FQHC267","730 N Farmersville Blvd,Farmersville,Tulare","-119.206885505341,","36.301567428208"
"FQHC268","7512 Morro Rd,Atascadero,San Luis Obispo","-120.66743412846,","35.477468848493"
"FQHC269","77 Casa St,San Luis Obispo,San Luis Obispo","-120.665192764135,","35.29320129067"
"FQHC270","7843 Lankershim Blvd,North Hollywood,Los Angeles","-118.387848059998,","34.212857891079"
"FQHC271","7967 Broadway Ave,Lemon Grove,San Diego","-117.027188994849,","32.74271024337"
"FQHC272","797 W Childs Ave,Merced,Merced","-120.496895950991,","37.288258698218"
"FQHC273","7970 Lander Ave,Hilmar,Merced","-120.850058318688,","37.403597737346"
"FQHC274","799 Front St,Soledad,Monterey","-121.326194629795,","36.424974953933"
"FQHC275","801 S Chevy Chase Dr,Glendale,Los Angeles","-118.239649100696,","34.137090485903"
"FQHC276","8041 Newman Ave,Huntington Beach,Orange","-117.988629090674,","33.704854464193"
"FQHC277","808 Oak Ave,Greenfield,Monterey","-121.242582895283,","36.321347593226"
"FQHC278","815 Dr Martin Luther King Jr Blvd,Bakersfield,Kern","-118.98516881531,","35.365067973099"
"FQHC279","818 Webster St,Oakland,Alameda","-122.271238461751,","37.799392631327"
"FQHC280","821 Texas Ave,Los Banos,Merced","-120.860514728783,","37.064420795487"
"FQHC281","823 Gateway Center Way,San Diego,San Diego","-117.113935427524,","32.714955633673"
"FQHC282","835 Webster St,Oakland,Alameda","-122.271310648012,","37.799538416448"
"FQHC283","8465 Old Redwood Hwy,Windsor,Sonoma","-122.801495722728,","38.543908871183"
"FQHC284","847 W Childs Ave,Merced,Merced","-120.497056385979,","37.288258255994"
"FQHC285","8627 Atlantic Ave,South Gate,Los Angeles","-118.183735604126,","33.954461404442"
"FQHC286","8788 Jamacha Rd,Spring Valley,San Diego","-117.009805863782,","32.714845527253"
"FQHC287","88 Mesa Rd,Bolinas,Marin","-122.699109822527,","37.909829635881"
"FQHC288","8856 Arlington Ave,Riverside,Riverside","-117.467297663063,","33.946461816494"
"FQHC289","8902 Woodman Ave,Arleta,Los Angeles","-118.437381050726,","34.231365754436"
"FQHC290","9 Crestview Dr,Watsonville,Santa Cruz","-121.764318431759,","36.926673367905"
"FQHC291","900 Fallon St,Oakland,Alameda","-122.263773684921,","37.797195043854"
"FQHC292","903 E Devonshire Ave,Hemet,Riverside","-116.962222645475,","33.751173091721"
"FQHC293","911 Washington St,Calistoga,Napa","-122.577066517571,","38.57804387709"
"FQHC294","9140 Van Nuys Blvd,Panorama City,Los Angeles","-118.450177507916,","34.236176949984"
"FQHC295","935 Market St,Yuba City,Sutter","-121.614415362302,","39.144866738539"
"FQHC296","9416 Rd 238, Terra Bella, CA 93270","-119.039959419037,","35.960519012316"
"FQHC297","9436 E Slauson Ave,Pico Rivera,Los Angeles","-118.096877042234,","33.968377302046"
"FQHC298","950 Circle Dr,Salinas,Monterey","-121.626232969408,","36.679436931946"
"FQHC299","950 S Euclid Ave,San Diego,San Diego","-117.085175971449,","32.696326773932"
"FQHC300","9933 MacArthur Blvd,Oakland,Alameda","-122.156742443935,","37.746482609226"
"FQHC301","995 Potrero Ave,San Francisco,San Francisco","-122.40663821554,","37.756926145551"
"PPHC1","330 S. Garfield Avenue, 3rd Fl. - Suite 300
Alhambra, CA 91801","-118.124462111826,","34.091839237384"
"PPHC2","303 W. Lincoln Ave., #105
Anaheim, CA 92805","-117.917893314918,","33.834935696791"
